Timestamp,Gender,Age_Range,Admission_Year,Faculty,Level_of_Study ,Parental_Level_of_Education,  Financial_Support_Source,  CGPA_Range,  Hours_of_Study_per_Week,  Class_Attendance,Accommodation_Type,Do_you_work_while_studying?,Internet_Access,  Participation_in_Clubs/Activities,  Scholarship_Status,"Do_you_receive_academic_support_(tutorials, mentorship, etc.)?",Health_Challenges,School_Activities_Stress,Dropout_Intention?
12/4/2025 13:01:18,Female,20–23 years,2022/2023,Pure and Applied Science (FPAS),400 Level,Bachelor’s Degree,Parents/Guardians,2.50 – 3.49 (Second Class Lower),Less than 5 hours,Regular,Hostel,No,Manage,No,No,No,"Yes, Minor",Moderately Stressful,No
12/4/2025 13:25:02,Female,16–19 years,2021/2022,Pure and Applied Science (FPAS),500 Level,Bachelor’s Degree,Parents/Guardians,2.50 – 3.49 (Second Class Lower),Less than 5 hours,Regular,Hostel,Yes,Manage,No,No,No,"Yes, Minor",Very Stressful,No
12/4/2025 14:06:00,Male,16–19 years,2022/2023,Pure and Applied Science (FPAS),400 Level,None,Parents/Guardians,3.50 – 4.49 (Second Class Upper),5–10 hours,Regular,Hostel,Yes,Manage,Yes,No,Yes,No,Not Stressful,No
12/4/2025 14:11:58,Female,20–23 years,2021/2022,Food & Consumer Sciences (FFCS),500 Level,Master’s Degree,Parents/Guardians,4.50 – 5.00 (First Class),5–10 hours,Regular,Hostel,No,Manage,No,No,Yes,No,Moderately Stressful,No
12/4/2025 14:18:45,Male,20–23 years,2025/2026,Computing and Informatics (FCI),500 Level,Master’s Degree,Parents/Guardians,3.50 – 4.49 (Second Class Upper),Less than 5 hours,Regular,Hostel,No,Poor,No,No,Yes,No,Moderately Stressful,No
12/4/2025 14:26:20,Male,20–23 years,2021/2022,Agricultural Science (FAS),500 Level,Bachelor’s Degree,Parents/Guardians,3.50 – 4.49 (Second Class Upper),Less than 5 hours,Irregular,Hostel,Yes,Good,No,No,Yes,No,Very Stressful,No
12/4/2025 14:27:10,Male,20–23 years,2021/2022,Agricultural Science (FAS),300 Level,Master’s Degree,Parents/Guardians,2.50 – 3.49 (Second Class Lower),Less than 5 hours,Irregular,Hostel,Yes,Manage,No,No,No,No,Very Stressful,Yes
12/4/2025 14:57:31,Female,16–19 years,2022/2023,Nursing Science (FNS),400 Level,Bachelor’s Degree,Parents/Guardians,3.50 – 4.49 (Second Class Upper),11–20 hours,Regular,Hostel,No,Manage,Yes,No,Yes,No,Moderately Stressful,No
12/4/2025 16:03:49,Female,20–23 years,2021/2022,Nursing Science (FNS),500 Level,Some College,Parents/Guardians,3.50 – 4.49 (Second Class Upper),5–10 hours,Regular,Hostel,Yes,Manage,No,No,No,"Yes, Minor",Very Stressful,No
12/4/2025 16:26:29,Male,20–23 years,2021/2022,Pure and Applied Science (FPAS),500 Level,Bachelor’s Degree,Parents/Guardians,2.50 – 3.49 (Second Class Lower),Less than 5 hours,Irregular,Hostel,No,Poor,No,No,No,No,Moderately Stressful,No
12/4/2025 16:29:58,Male,20–23 years,2023/2024,Basic Medical Sciences (FMBS),300 Level,Secondary School,Parents/Guardians,4.50 – 5.00 (First Class),5–10 hours,Regular,Hostel,No,Manage,Yes,No,No,"Yes, Minor",Moderately Stressful,No
12/4/2025 16:39:41,Female,20–23 years,2022/2023,Basic Medical Sciences (FMBS),400 Level,Bachelor’s Degree,Parents/Guardians,3.50 – 4.49 (Second Class Upper),5–10 hours,Regular,Hostel,No,Manage,Yes,No,Yes,No,Very Stressful,No
12/4/2025 16:48:30,Male,20–23 years,2022/2023,Food & Consumer Sciences (FFCS),300 Level,Bachelor’s Degree,Parents/Guardians,3.50 – 4.49 (Second Class Upper),11–20 hours,Regular,Hostel,No,Manage,No,No,No,No,Moderately Stressful,No
12/4/2025 17:37:51,Female,20–23 years,2024/2025,Food & Consumer Sciences (FFCS),200 Level,Master’s Degree,Parents/Guardians,4.50 – 5.00 (First Class),Above 20 hours,Regular,Hostel,No,Manage,No,No,Yes,No,Very Stressful,No
12/4/2025 17:39:39,Male,16–19 years,2024/2025,Food & Consumer Sciences (FFCS),200 Level,Secondary School,Parents/Guardians,4.50 – 5.00 (First Class),Above 20 hours,Irregular,Hostel,No,Manage,No,No,Yes,"Yes, Minor",Very Stressful,Not Sure
12/4/2025 18:02:32,Female,20–23 years,2021/2022,Pure and Applied Science (FPAS),500 Level,Bachelor’s Degree,Parents/Guardians,3.50 – 4.49 (Second Class Upper),Above 20 hours,Regular,Hostel,No,Good,Yes,No,Yes,No,Very Stressful,No
12/4/2025 18:10:05,Female,20–23 years,2025/2026,Pure and Applied Science (FPAS),100 Level,Some College,Parents/Guardians,4.50 – 5.00 (First Class),11–20 hours,Regular,Hostel,Yes,Manage,No,No,Yes,No,Very Stressful,No
12/4/2025 18:14:04,Male,20–23 years,2021/2022,Pure and Applied Science (FPAS),500 Level,Some College,Self-sponsored,3.50 – 4.49 (Second Class Upper),Less than 5 hours,Regular,Hostel,No,Manage,Yes,Yes,Yes,No,Not Stressful,No
12/4/2025 18:17:53,Female,16–19 years,2024/2025,Computing and Informatics (FCI),200 Level,Bachelor’s Degree,Parents/Guardians,2.50 – 3.49 (Second Class Lower),Less than 5 hours,Regular,Hostel,No,Good,No,,Yes,No,Moderately Stressful,No
12/4/2025 19:13:34,Male,20–23 years,2022/2023,Basic Medical Sciences (FMBS),400 Level,Bachelor’s Degree,Parents/Guardians,2.50 – 3.49 (Second Class Lower),Less than 5 hours,Irregular,Hostel,Yes,Manage,No,No,No,"Yes, Minor",Very Stressful,No
12/4/2025 19:15:35,Male,20–23 years,2022/2023,Basic Medical Sciences (FMBS),400 Level,Bachelor’s Degree,Parents/Guardians,3.50 – 4.49 (Second Class Upper),11–20 hours,Regular,Hostel,No,Manage,No,No,No,No,Moderately Stressful,No
12/4/2025 19:16:12,Female,20–23 years,2022/2023,Basic Medical Sciences (FMBS),400 Level,Bachelor’s Degree,Parents/Guardians,2.50 – 3.49 (Second Class Lower),Less than 5 hours,Irregular,Hostel,No,Manage,No,No,No,No,Moderately Stressful,Not Sure
12/4/2025 19:16:50,Female,16–19 years,2022/2023,Basic Medical Sciences (FMBS),400 Level,Bachelor’s Degree,Parents/Guardians,3.50 – 4.49 (Second Class Upper),5–10 hours,Regular,Hostel,No,Manage,No,No,No,"Yes, Minor",Moderately Stressful,No
12/4/2025 19:18:35,Female,16–19 years,2022/2023,Basic Medical Sciences (FMBS),400 Level,Bachelor’s Degree,Parents/Guardians,3.50 – 4.49 (Second Class Upper),5–10 hours,Regular,Hostel,No,Good,No,No,No,No,Moderately Stressful,No
12/4/2025 19:20:36,Female,20–23 years,2023/2024,Basic Medical Sciences (FMBS),400 Level,Bachelor’s Degree,Parents/Guardians,2.50 – 3.49 (Second Class Lower),Less than 5 hours,Regular,Hostel,No,Manage,No,No,No,Serious,Very Stressful,No
12/4/2025 19:21:31,Male,20–23 years,2022/2023,Basic Medical Sciences (FMBS),400 Level,Bachelor’s Degree,Parents/Guardians,2.50 – 3.49 (Second Class Lower),5–10 hours,Regular,Hostel,No,Good,No,No,No,No,Very Stressful,No
12/4/2025 19:25:33,Female,20–23 years,2022/2023,Basic Medical Sciences (FMBS),400 Level,Bachelor’s Degree,Parents/Guardians,3.50 – 4.49 (Second Class Upper),Less than 5 hours,Regular,Hostel,Yes,Good,No,No,No,No,Very Stressful,No
12/4/2025 19:26:36,Female,24–27 years,2022/2023,Basic Medical Sciences (FMBS),400 Level,Bachelor’s Degree,Parents/Guardians,3.50 – 4.49 (Second Class Upper),5–10 hours,Regular,Hostel,No,Good,No,No,No,"Yes, Minor",Very Stressful,No
12/4/2025 19:28:16,Female,20–23 years,2021/2022,Basic Medical Sciences (FMBS),400 Level,Secondary School,Parents/Guardians,4.50 – 5.00 (First Class),Less than 5 hours,Regular,Hostel,Yes,Good,Yes,No,Yes,No,Moderately Stressful,No
12/4/2025 19:28:31,Female,16–19 years,2022/2023,Basic Medical Sciences (FMBS),400 Level,Master’s Degree,Parents/Guardians,2.50 – 3.49 (Second Class Lower),5–10 hours,Regular,Hostel,No,Manage,No,No,No,"Yes, Minor",Very Stressful,No
12/4/2025 19:29:31,Male,20–23 years,2022/2023,Basic Medical Sciences (FMBS),400 Level,Master’s Degree,Parents/Guardians,3.50 – 4.49 (Second Class Upper),11–20 hours,Regular,Hostel,Yes,Manage,No,No,Yes,No,Very Stressful,No
12/4/2025 19:33:41,Male,20–23 years,2021/2022,Computing and Informatics (FCI),500 Level,Bachelor’s Degree,Parents/Guardians,4.50 – 5.00 (First Class),Less than 5 hours,Regular,Hostel,Yes,Manage,No,Yes,No,No,Very Stressful,No
12/4/2025 19:33:43,Male,20–23 years,2022/2023,Basic Medical Sciences (FMBS),400 Level,Some College,Parents/Guardians,4.50 – 5.00 (First Class),5–10 hours,Regular,Hostel,No,Manage,No,Yes,No,No,Very Stressful,No
12/4/2025 19:35:59,Female,20–23 years,2022/2023,Basic Medical Sciences (FMBS),400 Level,Secondary School,Parents/Guardians,3.50 – 4.49 (Second Class Upper),11–20 hours,Regular,Hostel,No,Manage,No,No,No,No,Moderately Stressful,No
12/4/2025 19:37:16,Female,20–23 years,2021/2022,Engineering and Technology (FET),500 Level,Bachelor’s Degree,Parents/Guardians,2.50 – 3.49 (Second Class Lower),Less than 5 hours,Regular,Hostel,No,Good,No,No,No,No,Very Stressful,No
12/4/2025 19:40:21,Female,20–23 years,2022/2023,Basic Medical Sciences (FMBS),400 Level,Secondary School,Parents/Guardians,2.50 – 3.49 (Second Class Lower),Less than 5 hours,Regular,Hostel,No,Manage,No,No,No,"Yes, Minor",Very Stressful,No
12/4/2025 19:54:27,Female,16–19 years,,Food & Consumer Sciences (FFCS),100 Level,None,Parents/Guardians,4.50 – 5.00 (First Class),Above 20 hours,Regular,Hostel,No,Manage,No,No,No,No,Very Stressful,Not Sure
12/4/2025 20:05:14,Female,20–23 years,2022/2023,Basic Medical Sciences (FMBS),400 Level,Bachelor’s Degree,Parents/Guardians,3.50 – 4.49 (Second Class Upper),Less than 5 hours,Irregular,Hostel,No,Poor,No,No,No,No,Moderately Stressful,No
12/4/2025 20:20:03,Male,20–23 years,2022/2023,Computing and Informatics (FCI),400 Level,Secondary School,Parents/Guardians,3.50 – 4.49 (Second Class Upper),Less than 5 hours,Regular,Hostel,Yes,Good,,,,No,,No
12/4/2025 20:27:15,Female,20–23 years,2021/2022,Nursing Science (FNS),500 Level,Secondary School,Parents/Guardians,3.50 – 4.49 (Second Class Upper),Above 20 hours,Regular,Hostel,No,Manage,No,No,No,No,Very Stressful,No
12/4/2025 20:44:40,Female,20–23 years,2022/2023,Basic Medical Sciences (FMBS),400 Level,Some College,Parents/Guardians,3.50 – 4.49 (Second Class Upper),5–10 hours,Regular,Hostel,Yes,Good,No,No,No,No,Very Stressful,No
12/4/2025 20:53:25,Female,20–23 years,2022/2023,Basic Medical Sciences (FMBS),400 Level,Bachelor’s Degree,Parents/Guardians,3.50 – 4.49 (Second Class Upper),5–10 hours,Regular,Hostel,Yes,Manage,No,No,No,"Yes, Minor",Very Stressful,No
12/4/2025 21:02:19,Female,20–23 years,2022/2023,Basic Medical Sciences (FMBS),400 Level,Bachelor’s Degree,Parents/Guardians,2.50 – 3.49 (Second Class Lower),Less than 5 hours,Regular,Hostel,No,Manage,No,No,No,No,Very Stressful,No
12/4/2025 21:13:43,Female,20–23 years,2022/2023,Basic Medical Sciences (FMBS),400 Level,Secondary School,Parents/Guardians,3.50 – 4.49 (Second Class Upper),11–20 hours,Regular,Hostel,No,Manage,No,No,Yes,No,Moderately Stressful,No
12/4/2025 21:15:01,Female,20–23 years,2023/2024,Food & Consumer Sciences (FFCS),300 Level,Secondary School,Parents/Guardians,3.50 – 4.49 (Second Class Upper),5–10 hours,Regular,Hostel,No,Good,Yes,No,Yes,No,Very Stressful,No
12/4/2025 21:15:47,Female,16–19 years,2023/2024,Food & Consumer Sciences (FFCS),200 Level,Some College,Parents/Guardians,3.50 – 4.49 (Second Class Upper),Less than 5 hours,Regular,Hostel,No,Manage,No,No,Yes,No,Moderately Stressful,No
12/4/2025 21:17:13,Female,20–23 years,2023/2024,Pure and Applied Science (FPAS),300 Level,Bachelor’s Degree,Parents/Guardians,3.50 – 4.49 (Second Class Upper),Less than 5 hours,Regular,Hostel,Yes,Poor,No,No,Yes,No,Very Stressful,No
12/4/2025 21:18:24,Female,20–23 years,2023/2024,Food & Consumer Sciences (FFCS),300 Level,Secondary School,Parents/Guardians,3.50 – 4.49 (Second Class Upper),5–10 hours,Irregular,Squatting,Yes,Good,No,Yes,No,"Yes, Minor",Very Stressful,Not Sure
12/4/2025 21:19:19,Female,20–23 years,2022/2023,Management Sciences (FMGS),400 Level,Secondary School,Parents/Guardians,3.50 – 4.49 (Second Class Upper),Less than 5 hours,Regular,Hostel,Yes,Good,No,No,Yes,No,Very Stressful,No
12/4/2025 21:25:38,Male,20–23 years,2023/2024,Computing and Informatics (FCI),300 Level,Bachelor’s Degree,Parents/Guardians,4.50 – 5.00 (First Class),5–10 hours,Regular,Hostel,Yes,Good,Yes,No,Yes,No,Very Stressful,No
12/4/2025 21:26:54,Female,20–23 years,2024/2025,Management Sciences (FMGS),200 Level,Secondary School,Parents/Guardians,3.50 – 4.49 (Second Class Upper),5–10 hours,Regular,Hostel,No,Good,No,No,Yes,No,Very Stressful,No
12/4/2025 21:35:04,Female,16–19 years,2023/2024,Food & Consumer Sciences (FFCS),300 Level,Bachelor’s Degree,Parents/Guardians,3.50 – 4.49 (Second Class Upper),5–10 hours,Regular,Hostel,No,Manage,No,No,No,No,Moderately Stressful,No
12/4/2025 21:37:15,Female,16–19 years,2023/2024,Food & Consumer Sciences (FFCS),300 Level,Bachelor’s Degree,Parents/Guardians,3.50 – 4.49 (Second Class Upper),5–10 hours,Regular,Hostel,No,Manage,Yes,No,No,No,Very Stressful,No
12/4/2025 21:50:04,Female,16–19 years,2023/2024,Food & Consumer Sciences (FFCS),300 Level,None,Parents/Guardians,3.50 – 4.49 (Second Class Upper),5–10 hours,Regular,Hostel,No,Good,No,No,No,No,Moderately Stressful,No
12/4/2025 21:50:50,Female,16–19 years,2023/2024,Food & Consumer Sciences (FFCS),300 Level,Bachelor’s Degree,Parents/Guardians,4.50 – 5.00 (First Class),5–10 hours,Regular,Hostel,Yes,Good,Yes,No,No,No,Very Stressful,No
12/4/2025 21:53:43,Female,16–19 years,2023/2024,Food & Consumer Sciences (FFCS),300 Level,Bachelor’s Degree,Parents/Guardians,3.50 – 4.49 (Second Class Upper),5–10 hours,Irregular,Hostel,Yes,Good,Yes,No,No,No,Moderately Stressful,No
12/4/2025 22:00:06,Female,20–23 years,2024/2025,Agricultural Science (FAS),300 Level,Some College,Self-sponsored,3.50 – 4.49 (Second Class Upper),5–10 hours,Regular,Squatting,Yes,Manage,No,No,No,No,Very Stressful,No
12/4/2025 22:00:56,Female,20–23 years,2023/2024,Agricultural Science (FAS),300 Level,Bachelor’s Degree,Parents/Guardians,1.50 – 2.49 (Third Class),11–20 hours,Regular,Hostel,No,Good,No,No,No,No,Very Stressful,No
12/4/2025 22:01:32,Female,20–23 years,2022/2023,Pure and Applied Science (FPAS),400 Level,Master’s Degree,Parents/Guardians,2.50 – 3.49 (Second Class Lower),Less than 5 hours,Irregular,Hostel,No,Good,No,No,No,"Yes, Minor",Very Stressful,No
12/4/2025 22:04:55,Male,20–23 years,2022/2023,Food & Consumer Sciences (FFCS),300 Level,Master’s Degree,Parents/Guardians,3.50 – 4.49 (Second Class Upper),11–20 hours,Regular,Hostel,No,Good,No,,Yes,No,Not Stressful,No
12/4/2025 22:07:29,Female,24–27 years,2024/2025,Food & Consumer Sciences (FFCS),300 Level,Master’s Degree,Parents/Guardians,3.50 – 4.49 (Second Class Upper),5–10 hours,Regular,Hostel,No,Manage,No,No,Yes,"Yes, Minor",Very Stressful,No
12/4/2025 22:07:42,Male,24–27 years,2022/2023,Computing and Informatics (FCI),400 Level,Some College,Parents/Guardians,3.50 – 4.49 (Second Class Upper),5–10 hours,Regular,Hostel,Yes,Manage,No,No,Yes,No,Moderately Stressful,No
12/4/2025 22:12:10,Male,16–19 years,2025/2026,Engineering and Technology (FET),100 Level,Bachelor’s Degree,Parents/Guardians,4.50 – 5.00 (First Class),5–10 hours,Regular,Squatting,Yes,Good,Yes,No,Yes,"Yes, Minor",Very Stressful,No
12/4/2025 22:15:03,Male,20–23 years,2022/2023,Food & Consumer Sciences (FFCS),300 Level,Bachelor’s Degree,Parents/Guardians,3.50 – 4.49 (Second Class Upper),Less than 5 hours,Irregular,Hostel,No,Manage,No,No,No,No,Moderately Stressful,No
12/4/2025 22:21:55,Male,20–23 years,2025/2026,Agricultural Science (FAS),100 Level,Secondary School,Parents/Guardians,4.50 – 5.00 (First Class),5–10 hours,Regular,Hostel,No,Good,No,No,No,No,Very Stressful,No
12/4/2025 22:46:58,Male,20–23 years,2022/2023,Engineering and Technology (FET),400 Level,Bachelor’s Degree,Parents/Guardians,3.50 – 4.49 (Second Class Upper),5–10 hours,Regular,Hostel,No,Good,No,No,No,No,Moderately Stressful,No
12/4/2025 23:09:29,Female,20–23 years,2022/2023,Food & Consumer Sciences (FFCS),300 Level,Bachelor’s Degree,Parents/Guardians,3.50 – 4.49 (Second Class Upper),Less than 5 hours,Irregular,Hostel,No,Good,No,No,Yes,No,Not Stressful,No
12/4/2025 23:33:10,Female,16–19 years,2022/2023,Management Sciences (FMGS),300 Level,Bachelor’s Degree,Parents/Guardians,2.50 – 3.49 (Second Class Lower),11–20 hours,Regular,Hostel,No,Manage,No,No,No,No,Moderately Stressful,No
12/5/2025 0:12:04,Male,20–23 years,2021/2022,Pure and Applied Science (FPAS),500 Level,Master’s Degree,Parents/Guardians,3.50 – 4.49 (Second Class Upper),Less than 5 hours,Regular,Hostel,No,Good,Yes,No,No,No,Very Stressful,No
12/5/2025 1:02:14,Male,16–19 years,2024/2025,Computing and Informatics (FCI),200 Level,Bachelor’s Degree,Parents/Guardians,4.50 – 5.00 (First Class),5–10 hours,Regular,Hostel,Yes,Manage,Yes,No,No,No,Moderately Stressful,No
12/5/2025 1:02:15,Female,16–19 years,2023/2024,Basic Medical Sciences (FMBS),300 Level,Master’s Degree,Parents/Guardians,4.50 – 5.00 (First Class),5–10 hours,Regular,Hostel,No,Good,Yes,No,No,No,Moderately Stressful,No
12/5/2025 1:02:37,Male,20–23 years,2022/2023,Computing and Informatics (FCI),400 Level,Secondary School,Self-sponsored,3.50 – 4.49 (Second Class Upper),Less than 5 hours,Regular,Hostel,Yes,Good,No,No,No,No,Moderately Stressful,No
12/5/2025 3:00:31,Male,20–23 years,2022/2023,Computing and Informatics (FCI),400 Level,Bachelor’s Degree,Parents/Guardians,3.50 – 4.49 (Second Class Upper),Less than 5 hours,Irregular,Hostel,No,Good,No,No,Yes,No,Very Stressful,No
12/5/2025 6:36:38,Female,20–23 years,2022/2023,Management Sciences (FMGS),300 Level,None,Parents/Guardians,3.50 – 4.49 (Second Class Upper),Less than 5 hours,Regular,Hostel,No,Manage,No,No,Yes,"Yes, Minor",Very Stressful,No
12/5/2025 6:49:59,Male,20–23 years,2022/2023,Computing and Informatics (FCI),400 Level,Some College,Parents/Guardians,3.50 – 4.49 (Second Class Upper),5–10 hours,Regular,Hostel,No,Good,No,No,No,No,Very Stressful,No
12/5/2025 6:52:44,Female,20–23 years,2022/2023,Computing and Informatics (FCI),400 Level,Bachelor’s Degree,Parents/Guardians,4.50 – 5.00 (First Class),Less than 5 hours,Regular,Hostel,No,Manage,No,Yes,No,No,Very Stressful,No
12/5/2025 7:18:17,Male,28–30 years,2021/2022,Agricultural Science (FAS),500 Level,Some College,Parents/Guardians,3.50 – 4.49 (Second Class Upper),11–20 hours,Irregular,Hostel,Yes,Manage,Yes,No,No,No,Very Stressful,Not Sure
12/5/2025 7:39:03,Male,16–19 years,2022/2023,Computing and Informatics (FCI),300 Level,Some College,Parents/Guardians,3.50 – 4.49 (Second Class Upper),Above 20 hours,Regular,Hostel,Yes,Manage,No,No,Yes,No,Moderately Stressful,No
12/5/2025 7:39:09,Female,20–23 years,2021/2022,Agricultural Science (FAS),500 Level,Bachelor’s Degree,Self-sponsored,3.50 – 4.49 (Second Class Upper),5–10 hours,Regular,Hostel,Yes,Manage,No,No,Yes,No,Very Stressful,No
12/5/2025 7:48:46,Female,20–23 years,2023/2024,Food & Consumer Sciences (FFCS),300 Level,Bachelor’s Degree,Parents/Guardians,3.50 – 4.49 (Second Class Upper),Less than 5 hours,Regular,Hostel,No,Manage,No,No,No,No,Very Stressful,No
12/5/2025 8:08:03,Female,20–23 years,2024/2025,Food & Consumer Sciences (FFCS),300 Level,Some College,Parents/Guardians,3.50 – 4.49 (Second Class Upper),5–10 hours,Regular,Hostel,No,Manage,No,No,No,No,Moderately Stressful,No
12/5/2025 8:49:34,Female,20–23 years,2022/2023,Computing and Informatics (FCI),400 Level,Bachelor’s Degree,Parents/Guardians,4.50 – 5.00 (First Class),Less than 5 hours,Regular,Hostel,No,Manage,Yes,No,Yes,No,Not Stressful,No
12/5/2025 8:59:56,Male,20–23 years,2022/2023,Engineering and Technology (FET),400 Level,Bachelor’s Degree,Parents/Guardians,3.50 – 4.49 (Second Class Upper),5–10 hours,Regular,Hostel,Yes,Good,No,No,Yes,No,Very Stressful,No
12/5/2025 9:05:55,Male,20–23 years,2025/2026,Engineering and Technology (FET),400 Level,Bachelor’s Degree,Parents/Guardians,3.50 – 4.49 (Second Class Upper),5–10 hours,Regular,Hostel,Yes,Manage,No,No,Yes,"Yes, Minor",,No
12/5/2025 9:07:54,Male,20–23 years,2021/2022,Pure and Applied Science (FPAS),500 Level,Bachelor’s Degree,Parents/Guardians,2.50 – 3.49 (Second Class Lower),5–10 hours,Regular,Hostel,No,Poor,No,No,No,No,Very Stressful,No
12/5/2025 9:12:11,Female,20–23 years,2023/2024,Agricultural Science (FAS),300 Level,Some College,Parents/Guardians,3.50 – 4.49 (Second Class Upper),11–20 hours,Regular,Hostel,No,Manage,No,No,No,No,Moderately Stressful,No
12/5/2025 9:13:23,Male,20–23 years,2022/2023,Engineering and Technology (FET),400 Level,Secondary School,Parents/Guardians,3.50 – 4.49 (Second Class Upper),5–10 hours,Regular,Hostel,Yes,Good,Yes,No,Yes,No,Very Stressful,No
12/5/2025 9:16:14,Male,20–23 years,2022/2023,Engineering and Technology (FET),400 Level,Bachelor’s Degree,Parents/Guardians,3.50 – 4.49 (Second Class Upper),11–20 hours,Regular,Hostel,Yes,Good,Yes,No,No,No,Very Stressful,No
